team,season,o_rtg,d_rtg,n_rtg,ast_per_game,pace,ts_percent,e_fg_percent,tov_percent,orb_percent,opp_e_fg_percent,w,l
San Antonio Spurs,2013,108.3,101.6,6.7,25.1,94.2,0.568,0.531,14.0,20.5,0.48,58.0,24.0
Toronto Raptors,2013,105.9,107.5,-1.6,21.5,90.4,0.532,0.488,13.0,25.5,0.5,34.0,48.0
Utah Jazz,2013,106.7,106.8,-0.1,22.7,90.9,0.533,0.492,13.8,28.8,0.501,43.0,39.0
Washington Wizards,2013,100.2,103.0,-2.8,21.6,92.2,0.512,0.475,14.2,24.6,0.483,29.0,53.0
Atlanta Hawks,2012,104.9,101.2,3.7,22.4,90.2,0.535,0.5,13.4,23.9,0.48,40.0,26.0
Boston Celtics,2012,101.0,98.2,2.8,23.6,90.4,0.535,0.496,14.7,19.7,0.452,39.0,27.0
Charlotte Bobcats,2012,95.2,110.4,-15.2,20.1,91.1,0.483,0.439,13.9,23.6,0.512,7.0,59.0
Chicago Bulls,2012,107.4,98.3,9.1,23.1,89.1,0.523,0.49,13.2,32.6,0.45,50.0,16.0
Cleveland Cavaliers,2012,101.1,108.9,-7.8,19.8,91.3,0.505,0.463,14.3,28.9,0.508,21.0,45.0
Dallas Mavericks,2012,103.3,102.3,1.0,20.9,91.4,0.527,0.489,13.4,23.4,0.479,36.0,30.0
Denver Nuggets,2012,109.2,106.2,3.0,24.0,94.2,0.556,0.516,14.1,27.7,0.508,38.0,28.0
Detroit Pistons,2012,101.0,106.3,-5.3,18.7,89.2,0.51,0.468,15.0,28.1,0.5,25.0,41.0
Golden State Warriors,2012,105.4,109.1,-3.7,22.3,92.3,0.539,0.505,13.3,22.9,0.496,23.0,43.0
Houston Rockets,2012,105.5,105.2,0.3,21.3,91.7,0.529,0.492,13.5,27.5,0.49,34.0,32.0
Indiana Pacers,2012,106.7,103.1,3.6,18.6,90.7,0.526,0.474,13.1,29.2,0.476,42.0,24.0
Los Angeles Clippers,2012,108.5,105.7,2.8,21.0,89.2,0.533,0.502,12.7,29.5,0.492,40.0,26.0
Los Angeles Lakers,2012,106.0,104.4,1.6,22.5,90.5,0.534,0.491,14.2,29.1,0.476,41.0,25.0
